names,scores,logfoldchanges,pvals,pvals_adj,rank
Gpr19,3.724773,-2.0460038,0.0001954910981913,0.0004092250292784,763
Trip6,27.891943,-2.0554535,3.341518673249565e-171,2.35823162775106e-170,764
Ncor1,18.502962,-2.0873122,1.9543421059423552e-76,8.367503151072027e-76,765
Ephb4,13.638458,-2.1364217,2.3650725821573118e-42,7.992185903167074e-42,766
Rab4a,13.528888,-2.145344,1.0560889423849259e-41,3.546975246420352e-41,767
Phaf1,8.381763,-2.1701345,5.2140412593490304e-17,1.385386598279904e-16,768
Idua,6.2548213,-2.217371,3.9797187165330675e-10,9.541710901667438e-10,769
Or5p58,3.7944005,-2.253588,0.0001480007135923,0.0003113023023832,770
Gna12,22.272354,-2.305815,6.850630500926468e-110,3.565860358360161e-109,771
Vmn2r108,9.712281,-2.3239558,2.672880550432476e-22,7.5657413399359525e-22,772
Tob1,22.127035,-2.3268483,1.736237909867293e-108,8.942798881154672e-108,773
Slc22a17,14.057948,-2.3524866,6.885353709362662e-45,2.37706723134837e-44,774
Cdk5,24.027254,-2.3574994,1.4435699525451555e-127,8.230404501344223e-127,775
Cadm4,-4.566135,-2.3623648,4.967986193007431e-06,1.0898932094829434e-05,776
Or51q1,6.8442307,-2.3747835,7.688787289941973e-12,1.896979784580315e-11,777
Tmco6,4.1388063,-2.383755,3.491173304070883e-05,7.477106230434157e-05,778
Grik5,3.7537086,-2.4266872,0.0001742374138425,0.0003653170559538,779
Zfp110,18.942747,-2.4636233,5.068180719874177e-80,2.2177750423147074e-79,780
Mcfd2,24.335539,-2.4878945,8.24849747873569e-131,4.775435268265091e-130,781
Ikbkg,8.809825,-2.492919,1.253413925009462e-18,3.4026997267726132e-18,782
Irs2,9.621542,-2.5177374,6.4851382685687385e-22,1.828425054211771e-21,783
Vmn1r81,8.41906,-2.5235803,3.795187082032542e-17,1.0106664494328148e-16,784
Mcoln1,8.281162,-2.5272048,1.2197843224275943e-16,3.225042028213813e-16,785
Bcas3,9.643157,-2.530189,5.254664454926266e-22,1.4838066836797765e-21,786
Rxra,13.6531515,-2.563542,1.9333345828793697e-42,6.540718444885935e-42,787
Ap2a1,23.209616,-2.5855827,3.641117013373638e-119,1.9955179808097147e-118,788
Snx2,25.712389,-2.5870223,8.496647622307484e-146,5.333492253163037e-145,789
Tlr2,6.002423,-2.595269,1.9439455086041296e-09,4.605148616862717e-09,790
Chrnb1,4.663377,-2.6106577,3.1106269398561342e-06,6.863719658696101e-06,791
Ifnar1,21.877863,-2.6308641,4.221679162310918e-106,2.1486809630025035e-105,792
Prkcb,-4.005765,-2.6529567,6.181714002313716e-05,0.0001315835509134,793
Tgfa,-3.873882,-2.6541693,0.0001071152773439,0.000226413419789,794
Plxnd1,10.055741,-2.6718032,8.666703544876642e-24,2.4856265715581732e-23,795
Or8g4,3.168605,-2.695859,0.0015317233905225,0.0030934369192487,796
Mecr,15.549661,-2.7113395,1.5995208246552808e-54,5.941544487998488e-54,797
Kpna4,27.465214,-2.7122557,4.5727946835520066e-166,3.15645772122098e-165,798
Extl3,13.874263,-2.7163937,9.07205462288118e-44,3.0998264465076866e-43,799
Epb41l1,10.452131,-2.7392116,1.4326864469794863e-25,4.188302792586936e-25,800
Vtcn1,-3.750134,-2.741491,0.0001767401820961,0.0003704987434586,801
Washc1,26.034006,-2.7738075,2.041696779454152e-149,1.306254594460632e-148,802
Slc30a9,25.920935,-2.8260536,3.8683857448730804e-148,2.456320959130296e-147,803
Scarb1,8.570672,-2.8287213,1.0288283787586345e-17,2.759390840769582e-17,804
Met,-5.915685,-2.8298864,3.3049695985206486e-09,7.784871049726391e-09,805
Il17rd,8.694699,-2.8664608,3.477488567623086e-18,9.384411910867695e-18,806
Amhr2,-4.040171,-2.8674996,5.3412171856320315e-05,0.0001138672302723,807
Plxnc1,4.2189665,-2.8740997,2.4542490155544675e-05,5.283132780134155e-05,808
Smarcd1,19.291859,-2.899458,6.287092095748558e-83,2.8025552442664024e-82,809
Nt5dc3,7.0428824,-2.901685,1.883027919229212e-12,4.692867955276769e-12,810
Or4a77,4.3272367,-2.910195,1.5099176797113473e-05,3.2669932685226464e-05,811
Ntrk1,5.924599,-3.0044703,3.1306038035451653e-09,7.380039166021992e-09,812
Folr1,9.184833,-3.0332563,4.121663773652621e-20,1.1400213114455337e-19,813
Lrp2,-4.467959,-3.0679934,7.896940681656225e-06,1.722378908969545e-05,814
Ogfrl1,20.68294,-3.0765226,4.9341125932133425e-95,2.3616752495297336e-94,815
Bmp7,-2.8195982,-3.0788822,0.0048083822717819,0.0094799096604423,816
Tnfrsf1b,7.1438184,-3.0897295,9.077317721997316e-13,2.274963627706086e-12,817
Rnf31,5.9750414,-3.092146,2.300320294813754e-09,5.440659425632891e-09,818
Flrt2,24.579092,-3.1437726,2.1140709390483646e-133,1.2381966191733554e-132,819
Sh2b1,13.829507,-3.1596537,1.6917536414785565e-43,5.7663654784076464e-43,820
Ptprj,6.818727,-3.1617138,9.185088079333334e-12,2.2628386057773537e-11,821
Tradd,23.832714,-3.1656535,1.5302398236720147e-125,8.626681354404929e-125,822
Unc13b,-3.0214992,-3.2483256,0.0025152639123921,0.0050307408022535,823
Vav3,16.160315,-3.260637,9.607073383173178e-59,3.676149042344623e-58,824
Tnfsf13,5.363283,-3.273289,8.17226984214855e-08,1.870515367649137e-07,825
Prkar2a,22.341204,-3.3006568,1.4702782022202582e-110,7.693717637271758e-110,826
Gprc5a,-4.565705,-3.308102,4.978188560843615e-06,1.0920300148187877e-05,827
