names,scores,logfoldchanges,pvals,pvals_adj
Gm12988,-0.014260798,-1.8618708,0.9886219149542571,0.9999344575108171
Gm5510,-0.014260798,-1.1195781,0.9886219149542571,0.9999344575108171
Aspdh,-0.014260983,-1.6760644,0.9886217676827407,0.9999344575108171
Gm5969,-0.0142611675,-2.6599522,0.9886216204112247,0.9999344575108171
Serpina3a,-0.0142611675,-2.23941,0.9886216204112247,0.9999344575108171
Cela3a,-0.0142611675,-2.188029,0.9886216204112247,0.9999344575108171
Gm2888,-0.0142611675,-4.04653,0.9886216204112247,0.9999344575108171
Gm8702,-0.0142611675,-3.1658564,0.9886216204112247,0.9999344575108171
Mrap2,-0.0142611675,-2.1050625,0.9886216204112247,0.9999344575108171
Gm19503,-0.0142611675,-1.9313309,0.9886216204112247,0.9999344575108171
Calb1,-0.0142611675,-2.861713,0.9886216204112247,0.9999344575108171
Gm12591,-0.0142611675,-2.8349807,0.9886216204112247,0.9999344575108171
Gm13359,-0.0142611675,-2.9486468,0.9886216204112247,0.9999344575108171
Gm6815,-0.014261352,-4.0370193,0.988621473139709,0.9999344575108171
Chil5,-0.014261352,-2.950124,0.988621473139709,0.9999344575108171
Or5p81,-0.014261352,-3.1756277,0.988621473139709,0.9999344575108171
Gm8545,-0.014261536,-2.4945138,0.9886213258681937,0.9999344575108171
Btnl2,-0.014261536,-3.749721,0.9886213258681937,0.9999344575108171
Or52m1,-0.014261536,-2.0902438,0.9886213258681937,0.9999344575108171
Tenm2,-0.014261536,-3.751841,0.9886213258681937,0.9999344575108171
Gm4870,-0.014261536,-4.8259234,0.9886213258681937,0.9999344575108171
Sptssb,-0.014261536,-3.7768037,0.9886213258681937,0.9999344575108171
Gm12209,-0.014261536,-5.1755095,0.9886213258681937,0.9999344575108171
Slc29a4,-0.014653619,-0.9906072,0.9883085220527563,0.9999344575108171
Smt3h2-ps4,-0.01465528,-0.57172054,0.9883071966166502,0.9999344575108171
