names,scores,logfoldchanges,pvals,pvals_adj,gene
ENSG00000136689,-0.041958205,-0.51135933,0.966532016325362,1.0,IL1RN
ENSG00000160791,-0.039909907,-19.969124,0.96816495407366,1.0,CCR5
ENSG00000178084,-0.03763165,-1.0276132,0.9699813719092282,1.0,HTR3C
ENSG00000102385,-0.037623134,-1.0372602,0.969988162554327,1.0,DRP2
ENSG00000078589,-0.03658408,-19.60621,0.9708166374335148,1.0,P2RY10
ENSG00000138039,-0.03558761,-0.13703606,0.9716111880193444,1.0,LHCGR
ENSG00000258839,-0.031744387,-0.105093,0.9746758974754608,1.0,MC1R
ENSG00000166148,-0.029932428,-19.47377,0.9761209428219072,1.0,AVPR1A
ENSG00000037897,-0.029828098,-0.5569479,0.9762041499797636,1.0,METTL1
ENSG00000168685,-0.028727297,-0.6916082,0.9770820860040988,1.0,IL7R
ENSG00000165819,-0.026468204,-0.017805105,0.9788838934950288,1.0,METTL3
ENSG00000118702,-0.026461817,-0.37366018,0.978888988301,1.0,GHRH
ENSG00000116329,-0.04307178,-0.62930936,0.9656443133998928,1.0,OPRD1
ENSG00000239732,-0.024315573,-0.56020826,0.9806008905497158,1.0,TLR9
ENSG00000250208,-0.023280779,-19.134258,0.9814263043991092,1.0,FZD10-AS1
ENSG00000179097,-0.023280779,-19.152735,0.9814263043991092,1.0,HTR1F
ENSG00000253930,-0.023280779,-18.765474,0.9814263043991092,1.0,TNFRSF10A-AS1
ENSG00000226780,-0.021030204,-1.1418324,0.9832215620621868,1.0,AVPR1B-DT
ENSG00000186891,-0.019954953,-18.765312,0.9840793079621292,1.0,TNFRSF18
ENSG00000117560,-0.019954953,-18.83068,0.9840793079621292,1.0,FASLG
ENSG00000233338,-0.019954953,-18.533655,0.9840793079621292,1.0,TLR8-AS1
ENSG00000163823,-0.01874982,-0.49058947,0.9850406845987508,1.0,CCR1
ENSG00000047936,-0.018698718,-0.15103352,0.9850814501757614,1.0,ROS1
ENSG00000146904,-0.017419064,-0.22645442,0.986102300589648,1.0,EPHA1
ENSG00000101916,-0.016629128,-18.71037,0.9867324876018926,1.0,TLR8
ENSG00000183185,-0.016629128,-18.47091,0.9867324876018926,1.0,GABRR3
ENSG00000089041,-0.023361688,-0.023657298,0.9813617651396148,1.0,P2RX7
ENSG00000124334,-0.04323573,-19.728033,0.9655136226570148,1.0,IL9R
ENSG00000184845,-0.04323573,-19.756073,0.9655136226570148,1.0,DRD1
ENSG00000249899,-0.043870237,-0.12858088,0.9650078412712098,1.0,ITGA2-AS1
ENSG00000226258,-0.1127161,-0.2467026,0.910255637035734,1.0,GRM7-AS3
ENSG00000037280,-0.10975224,-21.205307,0.9126058693341192,1.0,FLT4
ENSG00000069696,-0.10224891,-0.34782085,0.9185591105976124,1.0,DRD4
ENSG00000083454,-0.09749225,-1.8922474,0.9223354880138592,1.0,P2RX5
ENSG00000198732,-0.08850273,-0.13639316,0.9294771165624696,1.0,SMOC1
ENSG00000068078,-0.08790655,-0.25931078,0.929950951511776,1.0,FGFR3
ENSG00000121966,-0.084142104,-1.3127913,0.9329434473841604,1.0,CXCR4
ENSG00000149305,-0.08314563,-21.064459,0.9337357390585084,1.0,HTR3B
ENSG00000176845,-0.082807094,-0.12950288,0.9340049300551808,1.0,METRNL
ENSG00000124279,-0.08041812,-0.12439634,0.9359047170192084,1.0,FASTKD3
ENSG00000151834,-0.08007958,-0.26687002,0.9361739679444154,1.0,GABRA2
ENSG00000169313,-0.0798411,-0.47753677,0.9363636333572156,1.0,P2RY12
ENSG00000082556,-0.07981981,-20.488594,0.9363805679448408,1.0,OPRK1
