rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
39,Egfr,Anxa1,36.78,9.12,-14.03,-68.39,3.6858929502308633e-44,4,0.211,4,19,0.0022,EGF
40,Il1rl2,Il18,18.85,3.2,-7.58,-9.99,8.74212775120619e-14,3,1.0,1,1,0.0021,Other
41,Sort1,Ngf,7.57,-0.0,-42.42,-87.71,0.0,5,0.25,1,4,0.002,Other
42,Itgb3,Tgm2,13.35,4.57,-49.94,-65.47,0.0,4,0.143,2,14,0.0019,Other
43,Itgav,Vtn,71.96,50.48,-10.41,-120.41,6.644433391825109e-25,4,0.1,2,20,0.0015,Other
44,Acvr1,Bmp7,54.75,21.96,-2.82,-3.08,0.0094799096604423,4,0.444,4,9,0.0014,BMP/Activin
45,Sdc4,Tgm2,10.67,-41.42,-49.94,-65.47,0.0,4,0.125,1,8,0.0013,Other
46,Plxnb2,Sema4c,47.23,18.9,-4.29,-15.07,3.8136898665436685e-05,5,0.25,1,4,0.0013,Sema
47,Itgb8,Vtn,31.41,12.0,-10.41,-120.41,6.644433391825109e-25,4,0.2,1,5,0.0013,Other
48,Bmpr1b,Bmp4,3.49,2.35,-38.65,-73.53,0.0,4,0.444,4,9,0.0012,BMP
49,Ntrk1,Ntf3,5.92,-3.0,-15.52,-22.59,9.375801657467487e-54,4,0.667,2,3,0.0012,Other
50,Egfr,Icam1,36.78,9.12,-9.48,-27.13,7.270841286462939e-21,3,0.211,4,19,0.0011,EGF
51,Bmpr2,Bmp7,44.49,15.12,-2.82,-3.08,0.0094799096604423,4,0.4,4,10,0.001,BMP
52,Fzd7,Myoc,5.14,-3.99,-57.29,-153.04,0.0,3,0.2,1,5,0.0009,Other
53,Bmpr1a,Bmp7,41.83,9.56,-2.82,-3.08,0.0094799096604423,4,0.4,4,10,0.0009,BMP
54,Abca1,Pltp,6.4,-6.33,-24.98,-51.75,6.394991179218994e-137,4,0.25,1,4,0.0008,Other
55,Tnfrsf11b,Vtn,26.97,6.09,-10.41,-120.41,6.644433391825109e-25,4,0.143,1,7,0.0008,Other
