rank,receptor,ligand,r_logfc,l_logfc,l_padj,n_db,db_weight,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway
88,Lrp8,Lrpap1,1.57,-8.48,1.770878083779837e-41,4,0.8,0.5,1,2,0.0531,Other
89,Epha1,Efna1,2.2,-5.8,8.936455050643615e-10,5,1.0,0.4,2,5,0.051,Other
90,Egfr,Tgfa,9.12,-2.65,0.000226413419789,5,1.0,0.211,4,19,0.051,EGF
91,Insr,Arf1,0.6,-25.04,0.0082049472283497,4,0.8,1.0,6,6,0.0477,Other
92,Insr,Ahsg,0.6,-14.43,2.740125086874161e-13,4,0.8,1.0,6,6,0.0477,Other
93,Acvr2a,Bmp6,2.08,-20.73,3.4077937903842886e-20,4,0.8,0.286,4,14,0.0475,Activin
94,Acvr2a,Inhbb,2.08,-15.34,1.109667392529749e-07,4,0.8,0.286,4,14,0.0475,Activin
95,Fgfr2,Fgf16,4.81,-4.56,0.0001095520986479,3,0.6,0.333,5,15,0.0439,FGF
96,Epha3,Efna2,5.34,-1.9,2.2192741468734434e-18,5,1.0,0.429,3,7,0.0435,Other
97,Mertk,Gas6,0.87,-14.0,9.195792804308949e-45,5,1.0,0.5,1,2,0.0434,Other
98,Insr,Nampt,0.6,-13.27,1.339926174696022e-27,3,0.6,1.0,6,6,0.0357,Other
99,Acvr2a,Bmp2,2.08,-12.8,1.2892853069774322e-31,3,0.6,0.286,4,14,0.0356,Activin
100,Itgb3,Itgb3bp,4.57,-2.74,1.5168218834789676e-132,3,0.6,0.455,5,11,0.0342,Other
101,Il2rg,Il15,0.68,-16.22,3.520104297136089e-14,4,0.8,0.6,3,5,0.0324,Other
102,Ephb2,Efnb2,10.12,-1.2,6.4667057359368e-07,5,1.0,0.25,2,8,0.0299,Other
103,Notch1,Psen1,4.4,-10.1,3.2887149946609237e-39,4,0.8,0.083,1,12,0.0293,Notch
104,Robo2,Slit3,1.37,-8.0,4.255597967059493e-06,4,0.8,0.333,1,3,0.0291,Other
105,Ephb6,Efnb2,6.09,-1.2,6.4667057359368e-07,5,1.0,0.4,2,5,0.0291,Other
106,Insr,Sorbs1,0.6,-7.27,7.263027724949326e-16,3,0.6,1.0,6,6,0.026,Other
107,Bmpr1b,Bmp7,2.35,-3.08,0.0094799096604423,4,0.8,0.444,4,9,0.0257,BMP
108,Il2rg,Icam1,0.68,-27.13,7.270841286462939e-21,3,0.6,0.6,3,5,0.0243,Other
109,Epha3,Efnb2,5.34,-1.2,6.4667057359368e-07,4,0.8,0.429,3,7,0.0219,Other
110,Notch4,Psen1,1.47,-10.1,3.2887149946609237e-39,4,0.8,0.167,1,6,0.0196,Notch
111,Acvr1b,Inhbb,1.05,-15.34,1.109667392529749e-07,4,0.8,0.2,1,5,0.0169,Activin
