receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
RXFP2,INSL3,5,0.02,1.49,-0.25,-0.87,0.06,0.03,0.6885,1.3136,no,no,neither,0.0,0.0,0.0
RXFP3,INSL5,4,1.02,0.01,1.13,-0.31,,-0.03,,-18.8239,no,no,neither,0.0,0.0,0.0
RXFP4,INSL5,5,,0.01,,-0.31,-0.01,-0.03,-16.6977,-18.8239,no_data,no,neither,0.0,0.0,0.0
ITGB3,ITGB3BP,3,13.35,24.57,4.57,-2.74,0.53,3.15,0.295,0.336,no,no,neither,0.0,0.0,0.0
ITGB5,ITGB3BP,3,65.68,24.57,150.65,-2.74,0.11,3.15,-0.0112,0.336,no,no,neither,0.0,0.0,0.0
FCER1A,ITIH2,3,,10.53,,2.04,-0.02,0.25,-19.1274,0.9878,no_data,no,neither,0.0,0.0,0.0
CD46,JAG1,3,2.09,48.4,-0.22,19.92,1.37,1.45,0.0935,0.4001,no,no,neither,0.0,0.0,0.0
NOTCH1,JAG1,5,28.94,48.4,4.4,19.92,1.81,1.45,0.7993,0.4001,no,no,neither,0.0,0.0,0.0
NOTCH2,JAG1,5,26.22,48.4,-0.32,19.92,0.56,1.45,0.0074,0.4001,no,no,neither,0.0,0.0,0.0
NOTCH3,JAG1,5,32.63,48.4,5.47,19.92,0.68,1.45,0.9111,0.4001,no,no,neither,0.0,0.0,0.0
NOTCH4,JAG1,4,11.21,48.4,1.47,19.92,0.13,1.45,0.3283,0.4001,no,no,neither,0.0,0.0,0.0
NOTCH1,JAG2,5,28.94,-0.86,4.4,-2.85,1.81,0.07,0.7993,0.0255,trend,no,mouse_only,0.0745,0.0,0.0373
NOTCH2,JAG2,5,26.22,-0.86,-0.32,-2.85,0.56,0.07,0.0074,0.0255,trend,no,mouse_only,0.0677,0.0,0.0339
NOTCH3,JAG2,5,32.63,-0.86,5.47,-2.85,0.68,0.07,0.9111,0.0255,trend,no,mouse_only,0.0837,0.0,0.0419
NOTCH4,JAG2,3,11.21,-0.86,1.47,-2.85,0.13,0.07,0.3283,0.0255,trend,no,mouse_only,0.0302,0.0,0.0151
KISS1R,KISS1,5,0.65,-0.02,-0.72,-1.75,-0.01,-0.01,-18.0093,0.2709,trend,no,mouse_only,0.0017,0.0,0.0008
MMP24,KISS1,4,-0.15,-0.02,-1.81,-1.75,4.22,-0.01,0.5516,0.2709,no,trend,human_only,0.0,0.0106,0.0053
EPOR,KITLG,3,0.6,,-1.49,,0.2,1.19,0.3691,0.1872,no_data,no,neither,0.0,0.0,0.0
KIT,KITLG,5,0.76,,0.07,,0.09,1.19,0.4247,0.1872,no_data,no,neither,0.0,0.0,0.0
EPOR,KLK3,3,0.6,,-1.49,,0.2,0.03,0.3691,2.5177,no_data,no,neither,0.0,0.0,0.0
BDKRB1,KNG1,5,3.31,0.29,1.68,2.43,-1.74,0.06,-1.3862,0.6523,no,no,neither,0.0,0.0,0.0
BDKRB2,KNG1,5,-0.14,0.29,-1.71,2.43,-1.16,0.06,-0.485,0.6523,no,no,neither,0.0,0.0,0.0
CD93,KNG1,3,-3.02,0.29,-15.73,2.43,0.72,0.06,0.5064,0.6523,no,no,neither,0.0,0.0,0.0
GP1BA,KNG1,4,-0.01,0.29,-1.04,2.43,-0.15,0.06,-1.2621,0.6523,no,no,neither,0.0,0.0,0.0
GPR135,KNG1,3,9.24,0.29,1.08,2.43,1.4,0.06,0.2964,0.6523,no,no,neither,0.0,0.0,0.0
ITGB2,KNG1,4,-0.42,0.29,-1.87,2.43,0.28,0.06,0.6003,0.6523,no,no,neither,0.0,0.0,0.0
PLAUR,KNG1,4,18.34,0.29,3.18,2.43,0.53,0.06,0.0354,0.6523,no,no,neither,0.0,0.0,0.0
RXFP4,KNG1,5,,0.29,,2.43,-0.01,0.06,-16.6977,0.6523,no_data,no,neither,0.0,0.0,0.0
CNTN1,L1CAM,4,-5.38,-0.17,-6.61,-1.49,0.47,0.08,0.2764,0.4804,no,no,neither,0.0,0.0,0.0
EGFR,L1CAM,4,36.78,-0.17,9.12,-1.49,-0.87,0.08,-0.0943,0.4804,trend,no,mouse_only,0.0924,0.0,0.0462
EPHB2,L1CAM,3,26.23,-0.17,10.12,-1.49,2.6,0.08,0.5655,0.4804,trend,no,mouse_only,0.066,0.0,0.033
ERBB2,L1CAM,4,13.67,-0.17,1.35,-1.49,2.14,0.08,0.3404,0.4804,trend,no,mouse_only,0.0346,0.0,0.0173
ERBB3,L1CAM,4,0.05,-0.17,-0.74,-1.49,0.01,0.08,-0.0146,0.4804,trend,no,mouse_only,0.0005,0.0,0.0003
ITGA5,L1CAM,4,33.0,-0.17,17.47,-1.49,0.93,0.08,0.3136,0.4804,trend,no,mouse_only,0.0829,0.0,0.0415
ITGAV,L1CAM,4,71.96,-0.17,50.48,-1.49,1.38,0.08,0.1033,0.4804,trend,no,mouse_only,0.1803,0.0,0.0902
SDC1,LACRT,4,89.79,,53.42,,0.23,,3.2825,,no_data,no,neither,0.0,0.0,0.0
ITGA1,LAMA1,4,43.44,0.58,5.01,2.67,0.71,0.16,0.0624,0.0408,no,no,neither,0.0,0.0,0.0
ITGA2,LAMA1,4,4.21,0.58,0.74,2.67,-1.09,0.16,-0.4748,0.0408,no,no,neither,0.0,0.0,0.0
ITGA7,LAMA1,4,0.58,0.58,-11.0,2.67,1.69,0.16,0.4252,0.0408,no,no,neither,0.0,0.0,0.0
ITGB1,LAMA1,4,118.2,0.58,334.47,2.67,5.8,0.16,0.4347,0.0408,no,no,neither,0.0,0.0,0.0
