receptor,ligand,n_db,m_r_lfc,m_r_padj,m_l_lfc,m_l_padj,m_strict,m_relaxed,h_r_lfc,h_r_padj,h_l_lfc,h_l_padj,h_strict,h_relaxed,conservation
LIFR,CNTF,4,-14.7215,0.0056337040154712,-0.3083,0.9999344575108172,no,no,0.2952,0.2202648583985708,-20.4119,1.0,trend,yes,human_only
CNTN1,CNTN2,4,-6.6121,1.697398706940728e-07,-0.9895,2.0680712782673213e-08,no,no,0.2764,1.0,-0.1414,1.0,trend,yes,human_only
CNTNAP2,CNTN2,4,-1.9328,0.7059368479334922,-0.9895,2.0680712782673213e-08,no,no,0.4414,0.0002498299626913,-0.1414,1.0,trend,yes,human_only
NRCAM,CNTN2,4,0.6679,0.4634350214218199,-0.9895,2.0680712782673213e-08,trend,yes,-0.4149,1.0,-0.1414,1.0,no,no,mouse_only
PTPRG,CNTN4,4,,,-1.3765,0.9999344575108172,no_data,no_data,0.0744,0.9351831964111654,-0.4162,0.001147200429724,trend,yes,human_only
DDR1,COL11A1,4,4.0383,3.721781380333773e-117,131.2125,0.0,no,no,0.2614,0.9882963900302232,-0.1834,1.0,trend,yes,human_only
CD44,COL14A1,4,65.2963,0.0,454.9364,0.0,no,no,0.4064,0.0010917356158519,0.1622,1.0,no,no,neither
GPC1,COL18A1,4,10.1038,1.1023176827756088e-143,8.9936,4.64497597957252e-109,no,no,0.629,0.7427462860433053,0.7096,2.5872057635444777e-12,no,no,neither
GPC4,COL18A1,4,40.1045,0.0,8.9936,4.64497597957252e-109,no,no,0.1929,0.7769357150833524,0.7096,2.5872057635444777e-12,no,no,neither
ITGA5,COL18A1,4,17.4686,8.270553119411679e-238,8.9936,4.64497597957252e-109,no,no,0.3136,1.0,0.7096,2.5872057635444777e-12,no,no,neither
ITGB1,COL18A1,4,334.4704,0.0,8.9936,4.64497597957252e-109,no,no,0.4347,3.774832503484081e-07,0.7096,2.5872057635444777e-12,no,no,neither
KDR,COL18A1,4,-27.742,1.1151656034473205e-17,8.9936,4.64497597957252e-109,no,no,0.6615,1.5915817146357162e-19,0.7096,2.5872057635444777e-12,no,no,neither
CD36,COL1A1,4,-99.2021,3.4002826493152596e-36,,,no_data,no_data,0.4882,0.0002712486331559,1.2811,4.3687946635740845e-16,no,no,neither
CD44,COL1A1,4,65.2963,0.0,,,no_data,no_data,0.4064,0.0010917356158519,1.2811,4.3687946635740845e-16,no,no,neither
CD93,COL1A1,4,-15.7329,0.0050928003440419,,,no_data,no_data,0.5064,1.0,1.2811,4.3687946635740845e-16,no,no,neither
DDR1,COL1A1,4,4.0383,3.721781380333773e-117,,,no_data,no_data,0.2614,0.9882963900302232,1.2811,4.3687946635740845e-16,no,no,neither
DDR2,COL1A1,4,-46.1866,7.254203465369417e-28,,,no_data,no_data,0.3013,0.000427405867551,1.2811,4.3687946635740845e-16,no,no,neither
ITGA11,COL1A1,4,9.6092,4.2401322936066e-209,,,no_data,no_data,-0.4871,1.0,1.2811,4.3687946635740845e-16,no,no,neither
ITGA2,COL1A1,4,0.735,5.542923091695777e-05,,,no_data,no_data,-0.4748,1.0,1.2811,4.3687946635740845e-16,no,no,neither
ITGA5,COL1A1,4,17.4686,8.270553119411679e-238,,,no_data,no_data,0.3136,1.0,1.2811,4.3687946635740845e-16,no,no,neither
ITGB1,COL1A1,4,334.4704,0.0,,,no_data,no_data,0.4347,3.774832503484081e-07,1.2811,4.3687946635740845e-16,no,no,neither
TMPRSS6,COL1A1,3,0.3326,0.0228580516620326,,,no_data,no_data,-20.3012,1.0,1.2811,4.3687946635740845e-16,no,no,neither
CD36,COL1A2,3,-99.2021,3.4002826493152596e-36,,,no_data,no_data,0.4882,0.0002712486331559,0.5264,2.094352248976711e-06,no,no,neither
CD44,COL1A2,4,65.2963,0.0,,,no_data,no_data,0.4064,0.0010917356158519,0.5264,2.094352248976711e-06,no,no,neither
CD93,COL1A2,4,-15.7329,0.0050928003440419,,,no_data,no_data,0.5064,1.0,0.5264,2.094352248976711e-06,no,no,neither
ITGA11,COL1A2,3,9.6092,4.2401322936066e-209,,,no_data,no_data,-0.4871,1.0,0.5264,2.094352248976711e-06,no,no,neither
ITGA2,COL1A2,4,0.735,5.542923091695777e-05,,,no_data,no_data,-0.4748,1.0,0.5264,2.094352248976711e-06,no,no,neither
ITGA2B,COL1A2,3,2.7611,1.2061150095481729e-49,,,no_data,no_data,0.92,1.0,0.5264,2.094352248976711e-06,no,no,neither
ITGB1,COL1A2,3,334.4704,0.0,,,no_data,no_data,0.4347,3.774832503484081e-07,0.5264,2.094352248976711e-06,no,no,neither
ITGB3,COL1A2,4,4.5739,4.016441041116983e-40,,,no_data,no_data,0.295,1.0,0.5264,2.094352248976711e-06,no,no,neither
DDR1,COL2A1,4,4.0383,3.721781380333773e-117,5.3266,0.0080322272445976,no,no,0.2614,0.9882963900302232,-17.7195,1.0,trend,yes,human_only
ITGA10,COL2A1,4,-0.012,0.8905648551421971,5.3266,0.0080322272445976,no,no,0.6878,1.0,-17.7195,1.0,trend,yes,human_only
ITGA2,COL2A1,4,0.735,5.542923091695777e-05,5.3266,0.0080322272445976,no,no,-0.4748,1.0,-17.7195,1.0,no,no,neither
ITGA2B,COL2A1,3,2.7611,1.2061150095481729e-49,5.3266,0.0080322272445976,no,no,0.92,1.0,-17.7195,1.0,trend,yes,human_only
ITGB1,COL2A1,4,334.4704,0.0,5.3266,0.0080322272445976,no,no,0.4347,3.774832503484081e-07,-17.7195,1.0,trend,yes,human_only
MAG,COL2A1,4,-1.1098,0.9999344575108172,5.3266,0.0080322272445976,no,no,1.3161,1.0,-17.7195,1.0,trend,yes,human_only
TNFRSF10A,COL2A1,4,,,5.3266,0.0080322272445976,no_data,no_data,0.1391,1.0,-17.7195,1.0,trend,yes,human_only
DDR1,COL3A1,4,4.0383,3.721781380333773e-117,,,no_data,no_data,0.2614,0.9882963900302232,0.908,9.681513688638169e-37,no,no,neither
DDR2,COL3A1,4,-46.1866,7.254203465369417e-28,,,no_data,no_data,0.3013,0.000427405867551,0.908,9.681513688638169e-37,no,no,neither
MAG,COL3A1,4,-1.1098,0.9999344575108172,,,no_data,no_data,1.3161,1.0,0.908,9.681513688638169e-37,no,no,neither
CD93,COL4A1,4,-15.7329,0.0050928003440419,154.5639,2.248606182587743e-124,no,no,0.5064,1.0,0.176,1.0,no,no,neither
ITGA1,COL4A1,4,5.0113,0.0,154.5639,2.248606182587743e-124,no,no,0.0624,1.0,0.176,1.0,no,no,neither
ITGAV,COL4A1,4,50.4759,0.0,154.5639,2.248606182587743e-124,no,no,0.1033,1.0,0.176,1.0,no,no,neither
ITGB1,COL4A1,4,334.4704,0.0,154.5639,2.248606182587743e-124,no,no,0.4347,3.774832503484081e-07,0.176,1.0,no,no,neither
ITGB8,COL4A1,4,12.0047,1.4650893849954412e-215,154.5639,2.248606182587743e-124,no,no,0.0184,1.0,0.176,1.0,no,no,neither
CD93,COL4A2,4,-15.7329,0.0050928003440419,154.6284,0.0,no,no,0.5064,1.0,0.4063,1.0,no,no,neither
CD47,COL4A3,4,-174.0568,0.0,-24.8341,2.2243661695266457e-121,no,no,0.4753,5.367572886678149e-06,0.4485,1.0,no,no,neither
CD93,COL4A3,4,-15.7329,0.0050928003440419,-24.8341,2.2243661695266457e-121,no,no,0.5064,1.0,0.4485,1.0,no,no,neither
ITGAV,COL4A3,4,50.4759,0.0,-24.8341,2.2243661695266457e-121,yes,yes,0.1033,1.0,0.4485,1.0,no,no,mouse_only
CD93,COL4A4,3,-15.7329,0.0050928003440419,-58.5758,0.0,no,no,0.5064,1.0,0.2491,1.0,no,no,neither
CD93,COL4A5,4,-15.7329,0.0050928003440419,24.4223,0.0,no,no,0.5064,1.0,-0.3239,0.0021996916119389,trend,yes,human_only
CD93,COL4A6,4,-15.7329,0.0050928003440419,-2.8696,0.6435835921869434,no,no,0.5064,1.0,-0.3996,0.976319840920934,trend,yes,human_only
SDC3,COL5A1,4,28.9004,0.0,684.5572,0.0,no,no,0.9631,0.9785026698503438,0.179,1.0,no,no,neither
DDR1,COL5A2,4,4.0383,3.721781380333773e-117,,,no_data,no_data,0.2614,0.9882963900302232,0.2274,0.0499022173372093,no,no,neither
SDC3,COL5A3,3,28.9004,0.0,1.925,8.92618585922709e-35,no,no,0.9631,0.9785026698503438,0.8725,1.0,no,no,neither
ITGA1,COL8A1,4,5.0113,0.0,,,no_data,no_data,0.0624,1.0,0.3074,0.0052587416641371,no,no,neither
ITGA2,COL8A1,4,0.735,5.542923091695777e-05,,,no_data,no_data,-0.4748,1.0,0.3074,0.0052587416641371,no,no,neither
MAG,COL9A1,4,-1.1098,0.9999344575108172,2.82,0.0125699964429131,no,no,1.3161,1.0,0.394,1.0,no,no,neither
MAG,COL9A2,4,-1.1098,0.9999344575108172,23.63,2.2594580409287295e-296,no,no,1.3161,1.0,0.6156,1.0,no,no,neither
MAG,COL9A3,4,-1.1098,0.9999344575108172,3.1243,2.390409329680578e-07,no,no,1.3161,1.0,-1.198,1.0,trend,yes,human_only
MUSK,COLQ,4,-0.8564,0.9999344575108172,-0.3303,0.9243392975482128,no,no,1.3092,1.9890370266463095e-10,0.4136,0.8480530230939283,no,no,neither
GHSR,CORT,4,0.0371,0.9999344575108172,2.3826,0.9999344575108172,no,no,-15.318,1.0,-2.1756,1.0,no,no,neither
MRGPRX2,CORT,4,,,2.3826,0.9999344575108172,no_data,no_data,-0.364,1.0,-2.1756,1.0,no,no,neither
SSTR1,CORT,5,-3.0723,0.9999344575108172,2.3826,0.9999344575108172,no,no,0.8495,1.0,-2.1756,1.0,trend,yes,human_only
SSTR2,CORT,5,1.7273,0.9999344575108172,2.3826,0.9999344575108172,no,no,-0.0397,1.0,-2.1756,1.0,no,no,neither
SSTR3,CORT,5,-0.4269,0.9999344575108172,2.3826,0.9999344575108172,no,no,-17.198,1.0,-2.1756,1.0,no,no,neither
SSTR4,CORT,5,,,2.3826,0.9999344575108172,no_data,no_data,0.0,1.0,-2.1756,1.0,no,no,neither
SSTR5,CORT,5,,,2.3826,0.9999344575108172,no_data,no_data,0.0,1.0,-2.1756,1.0,no,no,neither
SLC40A1,CP,4,-2.7435,7.763304231135492e-08,-158.1261,0.0,no,no,1.1484,3.1329769687980314e-22,0.7334,1.0,no,no,neither
SCTR,CPAMD8,4,-0.0505,0.9999344575108172,,,no_data,no_data,1.651,0.8112999554688528,0.9577,1.0,no,no,neither
CRHR1,CRH,5,,,,,no_data,no_data,0.0102,1.0,0.0,1.0,no,no,neither
CRHR2,CRH,5,-1.6283,0.9999344575108172,,,no_data,no_data,1.9055,1.0,0.0,1.0,no,no,neither
MC2R,CRH,3,-2.3816,0.9999344575108172,,,no_data,no_data,-16.743,1.0,0.0,1.0,no,no,neither
ACVR1B,CRIPTO,4,1.0532,4.245720121012983e-15,3.0727,0.9999344575108172,no,no,0.3542,0.9146332302534812,-0.1696,1.0,trend,yes,human_only
ACVR1C,CRIPTO,3,0.2968,0.9999344575108172,3.0727,0.9999344575108172,no,no,-1.0491,1.0,-0.1696,1.0,no,no,neither
ACVR2A,CRIPTO,4,2.0794,1.3580638240402423e-37,3.0727,0.9999344575108172,no,no,-0.0667,1.0,-0.1696,1.0,no,no,neither
OLR1,CRP,4,-0.312,0.9999344575108172,2.4348,0.9999344575108172,no,no,-2.507,1.0,0.0,1.0,no,no,neither
CSF1R,CSF1,5,-7.2168,0.2064104031368429,-16.1209,8.510488445870774e-41,no,no,0.5511,1.0,0.3125,0.5465288117431901,no,no,neither
CSF1R,CSF2,3,-7.2168,0.2064104031368429,1.3755,0.9999344575108172,no,no,0.5511,1.0,-15.5008,1.0,trend,yes,human_only
CSF2RA,CSF2,4,9.2417,2.841672012301336e-243,1.3755,0.9999344575108172,no,no,-0.0375,1.0,-15.5008,1.0,no,no,neither
CSF2RB,CSF2,4,-0.1208,0.4872938729927898,1.3755,0.9999344575108172,no,no,0.9318,1.0,-15.5008,1.0,trend,yes,human_only
CSF3R,CSF2,4,-1.3848,0.9999344575108172,1.3755,0.9999344575108172,no,no,0.5186,1.0,-15.5008,1.0,trend,yes,human_only
IL3RA,CSF2,4,29.0986,0.0,1.3755,0.9999344575108172,no,no,0.7325,0.7259510059134364,-15.5008,1.0,trend,yes,human_only
SDC2,CSF2,4,-199.4438,0.0,1.3755,0.9999344575108172,no,no,-0.0586,1.0,-15.5008,1.0,no,no,neither
CSF1R,CSF3,3,-7.2168,0.2064104031368429,-1.3183,0.9999344575108172,no,no,0.5511,1.0,-18.1958,1.0,trend,yes,human_only
CSF3R,CSF3,5,-1.3848,0.9999344575108172,-1.3183,0.9999344575108172,no,no,0.5186,1.0,-18.1958,1.0,trend,yes,human_only
PRLR,CSH1,4,-1.6152,0.4705097987930564,,,no_data,no_data,0.7544,1.0,-15.6062,1.0,trend,yes,human_only
PRLR,CSH2,3,-1.6152,0.4705097987930564,,,no_data,no_data,0.7544,1.0,0.0,1.0,no,no,neither
IL6ST,CTF1,4,5.9256,5.237849615188787e-175,7.5351,4.868345244013886e-129,no,no,0.3514,1.1176301121782341e-07,0.1035,1.0,no,no,neither
LIFR,CTF1,4,-14.7215,0.0056337040154712,7.5351,4.868345244013886e-129,no,no,0.2952,0.2202648583985708,0.1035,1.0,no,no,neither
FZD3,CTHRC1,4,3.2335,1.3344254210450407e-31,,,no_data,no_data,-0.0643,1.0,0.786,1.0,no,no,neither
FZD5,CTHRC1,4,16.6083,1.5136412228990692e-266,,,no_data,no_data,-0.3016,1.0,0.786,1.0,no,no,neither
FZD6,CTHRC1,4,3.9977,1.2058569772357722e-55,,,no_data,no_data,0.2517,0.347821101907897,0.786,1.0,no,no,neither
LRP2,CUBN,3,-3.068,1.722378908969545e-05,0.2699,0.1850905842004656,no,no,0.123,1.0,0.1883,1.0,no,no,neither
CX3CR1,CX3CL1,5,-2.0295,0.9999344575108172,12.097,9.194067824702562e-230,no,no,0.6458,1.0,0.5452,1.0,no,no,neither
ACKR1,CXCL1,5,-2.7768,0.0796016733928165,-1.5978,0.0957619923749561,no,no,-1.64,1.0,0.1031,1.0,no,no,neither
CXCR1,CXCL1,5,,,-1.5978,0.0957619923749561,no_data,no_data,-16.0767,1.0,0.1031,1.0,no,no,neither
CXCR2,CXCL1,5,-20.2092,0.0030079620009992,-1.5978,0.0957619923749561,no,no,-18.1818,1.0,0.1031,1.0,no,no,neither
CCR3,CXCL10,4,-0.2833,0.9999344575108172,19.6953,5.1521201778574516e-12,no,no,0.7289,1.0,-0.3901,1.0,trend,yes,human_only
CXCR3,CXCL10,5,-5.1961,0.9999344575108172,19.6953,5.1521201778574516e-12,no,no,2.4483,1.0,-0.3901,1.0,trend,yes,human_only
SDC4,CXCL10,4,-41.4204,4.156289274478787e-26,19.6953,5.1521201778574516e-12,no,no,0.6729,0.0003309302353757,-0.3901,1.0,trend,yes,human_only
ACKR3,CXCL11,5,-252.8029,0.0,0.96,0.9999344575108172,no,no,-0.2062,1.0,-19.8847,1.0,no,no,neither
CCR3,CXCL11,4,-0.2833,0.9999344575108172,0.96,0.9999344575108172,no,no,0.7289,1.0,-19.8847,1.0,trend,yes,human_only
CXCR3,CXCL11,5,-5.1961,0.9999344575108172,0.96,0.9999344575108172,no,no,2.4483,1.0,-19.8847,1.0,trend,yes,human_only
ACKR3,CXCL12,4,-252.8029,0.0,129.7204,0.0,no,no,-0.2062,1.0,0.4047,1.0,no,no,neither
CD4,CXCL12,4,-4.0579,0.9999344575108172,129.7204,0.0,no,no,-0.4882,1.0,0.4047,1.0,no,no,neither
CXCR3,CXCL12,4,-5.1961,0.9999344575108172,129.7204,0.0,no,no,2.4483,1.0,0.4047,1.0,no,no,neither
CXCR4,CXCL12,5,-1.0191,0.9999344575108172,129.7204,0.0,no,no,-1.3128,1.0,0.4047,1.0,no,no,neither
ITGB1,CXCL12,4,334.4704,0.0,129.7204,0.0,no,no,0.4347,3.774832503484081e-07,0.4047,1.0,no,no,neither
ACKR4,CXCL13,5,-53.4961,1.4933037916141104e-117,-39.4987,0.9999344575108172,no,no,0.7192,1.0,1.2227,1.0,no,no,neither
CCR10,CXCL13,4,-0.4527,0.9999344575108172,-39.4987,0.9999344575108172,no,no,0.2108,1.0,1.2227,1.0,no,no,neither
CXCR3,CXCL13,4,-5.1961,0.9999344575108172,-39.4987,0.9999344575108172,no,no,2.4483,1.0,1.2227,1.0,no,no,neither
CXCR5,CXCL13,5,-1.6383,0.9999344575108172,-39.4987,0.9999344575108172,no,no,1.4909,1.0,1.2227,1.0,no,no,neither
CXCR4,CXCL14,3,-1.0191,0.9999344575108172,-406.1244,0.0,no,no,-1.3128,1.0,-0.1572,1.0,no,no,neither
CXCR6,CXCL16,5,-1.084,0.9999344575108172,-23.1713,8.547376177490793e-60,no,no,0.8253,1.0,0.9362,1.0,no,no,neither
CXCR1,CXCL2,4,,,4.1335,2.0314955503140604e-08,no_data,no_data,-16.0767,1.0,-0.1545,1.0,no,no,neither
CXCR2,CXCL2,5,-20.2092,0.0030079620009992,4.1335,2.0314955503140604e-08,no,no,-18.1818,1.0,-0.1545,1.0,no,no,neither
XCR1,CXCL2,4,-1.5799,0.0983143097933365,4.1335,2.0314955503140604e-08,no,no,-17.8731,1.0,-0.1545,1.0,no,no,neither
CXCR1,CXCL3,4,,,-0.5814,0.9999344575108172,no_data,no_data,-16.0767,1.0,-0.502,1.0,no,no,neither
CXCR2,CXCL3,5,-20.2092,0.0030079620009992,-0.5814,0.9999344575108172,no,no,-18.1818,1.0,-0.502,1.0,no,no,neither
ACKR1,CXCL5,4,-2.7768,0.0796016733928165,49.1269,1.4721220106194292e-189,no,no,-1.64,1.0,-15.8445,1.0,no,no,neither
CXCR1,CXCL5,5,,,49.1269,1.4721220106194292e-189,no_data,no_data,-16.0767,1.0,-15.8445,1.0,no,no,neither
CXCR2,CXCL5,5,-20.2092,0.0030079620009992,49.1269,1.4721220106194292e-189,no,no,-18.1818,1.0,-15.8445,1.0,no,no,neither
CXCR1,CXCL6,5,,,,,no_data,no_data,-16.0767,1.0,0.9579,1.0,no,no,neither
CXCR2,CXCL6,5,-20.2092,0.0030079620009992,,,no_data,no_data,-18.1818,1.0,0.9579,1.0,no,no,neither
ACKR1,CXCL8,5,-2.7768,0.0796016733928165,,,no_data,no_data,-1.64,1.0,-2.5704,1.0,no,no,neither
CXCR1,CXCL8,5,,,,,no_data,no_data,-16.0767,1.0,-2.5704,1.0,no,no,neither
CXCR2,CXCL8,5,-20.2092,0.0030079620009992,,,no_data,no_data,-18.1818,1.0,-2.5704,1.0,no,no,neither
SDC1,CXCL8,4,53.4222,0.0,,,no_data,no_data,3.2825,1.0,-2.5704,1.0,trend,yes,human_only
SDC2,CXCL8,4,-199.4438,0.0,,,no_data,no_data,-0.0586,1.0,-2.5704,1.0,no,no,neither
CCR3,CXCL9,4,-0.2833,0.9999344575108172,1.564,0.0006188499744352,no,no,0.7289,1.0,-1.3848,1.0,trend,yes,human_only
CXCR3,CXCL9,5,-5.1961,0.9999344575108172,1.564,0.0006188499744352,no,no,2.4483,1.0,-1.3848,1.0,trend,yes,human_only
EGFR,DCN,4,9.1206,4.0958356894436235e-295,,,no_data,no_data,-0.0943,1.0,-0.1678,1.0,no,no,neither
ERBB4,DCN,4,-1.8561,0.9999344575108172,,,no_data,no_data,-0.0342,0.1445471920686773,-0.1678,1.0,no,no,neither
MET,DCN,4,-2.8299,7.784871049726391e-09,,,no_data,no_data,0.1141,0.4954430698152696,-0.1678,1.0,trend,yes,human_only
CCR6,DEFB1,4,0.2418,0.9999344575108172,-5.6743,0.9999344575108172,trend,yes,0.9048,1.0,-17.3654,1.0,trend,yes,CONSERVED_relaxed
CCR2,DEFB103A,4,-3.4747,0.9999344575108172,,,no_data,no_data,-0.1161,1.0,0.0,1.0,no,no,neither
CCR6,DEFB103A,4,0.2418,0.9999344575108172,,,no_data,no_data,0.9048,1.0,0.0,1.0,no,no,neither
CCR6,DEFB4B,4,0.2418,0.9999344575108172,,,no_data,no_data,0.9048,1.0,19.7569,1.0,no,no,neither
TLR4,DEFB4B,4,-7.5531,0.7437114363521953,,,no_data,no_data,0.322,1.0,19.7569,1.0,no,no,neither
BOC,DHH,4,1.768,8.221472117834986e-102,-0.0608,0.8197960259795659,trend,yes,0.1799,0.2687524586912985,0.552,1.0,no,no,mouse_only
CDON,DHH,4,-10.3432,0.4752081006870901,-0.0608,0.8197960259795659,no,no,0.2178,0.1834073911242358,0.552,1.0,no,no,neither
HHIP,DHH,5,-0.8795,0.9999344575108172,-0.0608,0.8197960259795659,no,no,1.4021,0.2087584199665209,0.552,1.0,no,no,neither
PTCH1,DHH,4,-3.393,9.551010943757117e-13,-0.0608,0.8197960259795659,no,no,0.1503,1.0,0.552,1.0,no,no,neither
PTCH2,DHH,4,-1.4975,0.0225664288591652,-0.0608,0.8197960259795659,no,no,-0.2018,1.0,0.552,1.0,no,no,neither
KREMEN1,DKK1,4,-1.8892,1.737829221804689e-47,-0.0408,0.9999344575108172,no,no,0.5721,0.0002771922131882,-1.6275,1.0,trend,yes,human_only
KREMEN2,DKK1,4,-1.4756,0.9999344575108172,-0.0408,0.9999344575108172,no,no,1.6879,1.0,-1.6275,1.0,trend,yes,human_only
LRP5,DKK1,5,1.9367,3.6244646582270682e-109,-0.0408,0.9999344575108172,trend,yes,0.4678,0.3783663103950592,-1.6275,1.0,trend,yes,CONSERVED_relaxed
LRP6,DKK1,5,12.8705,0.0,-0.0408,0.9999344575108172,trend,yes,0.1581,0.8107383351178986,-1.6275,1.0,trend,yes,CONSERVED_relaxed
KREMEN2,DKK2,4,-1.4756,0.9999344575108172,6.9442,8.199976005234609e-33,no,no,1.6879,1.0,-0.353,1.0,trend,yes,human_only
LRP6,DKK2,5,12.8705,0.0,6.9442,8.199976005234609e-33,no,no,0.1581,0.8107383351178986,-0.353,1.0,trend,yes,human_only
NOTCH1,DLK1,4,4.3951,2.465241393848366e-183,-0.7242,0.9999344575108172,trend,yes,0.7993,0.6606492981719543,0.0,1.0,no,no,mouse_only
NOTCH2,DLK1,3,-0.3191,9.008726996899669e-151,-0.7242,0.9999344575108172,no,no,0.0074,1.0,0.0,1.0,no,no,neither
NOTCH3,DLK1,3,5.4688,1.5999027198372099e-232,-0.7242,0.9999344575108172,trend,yes,0.9111,1.0,0.0,1.0,no,no,mouse_only
NOTCH1,DLK2,4,4.3951,2.465241393848366e-183,1.0281,0.7182171960449503,no,no,0.7993,0.6606492981719543,1.2083,1.0,no,no,neither
NOTCH1,DLL1,5,4.3951,2.465241393848366e-183,-2.7247,0.9293362278518458,trend,yes,0.7993,0.6606492981719543,0.3923,1.0,no,no,mouse_only
NOTCH2,DLL1,5,-0.3191,9.008726996899669e-151,-2.7247,0.9293362278518458,no,no,0.0074,1.0,0.3923,1.0,no,no,neither
NOTCH3,DLL1,5,5.4688,1.5999027198372099e-232,-2.7247,0.9293362278518458,trend,yes,0.9111,1.0,0.3923,1.0,no,no,mouse_only
NOTCH4,DLL1,3,1.4665,1.1539854676177063e-28,-2.7247,0.9293362278518458,trend,yes,0.3283,1.0,0.3923,1.0,no,no,mouse_only
NOTCH1,DLL3,3,4.3951,2.465241393848366e-183,-0.7017,0.9999344575108172,trend,yes,0.7993,0.6606492981719543,-0.2029,1.0,trend,yes,CONSERVED_relaxed
NOTCH2,DLL3,3,-0.3191,9.008726996899669e-151,-0.7017,0.9999344575108172,no,no,0.0074,1.0,-0.2029,1.0,trend,yes,human_only
NOTCH3,DLL3,3,5.4688,1.5999027198372099e-232,-0.7017,0.9999344575108172,trend,yes,0.9111,1.0,-0.2029,1.0,trend,yes,CONSERVED_relaxed
NOTCH4,DLL3,3,1.4665,1.1539854676177063e-28,-0.7017,0.9999344575108172,trend,yes,0.3283,1.0,-0.2029,1.0,trend,yes,CONSERVED_relaxed
NOTCH1,DLL4,5,4.3951,2.465241393848366e-183,-6.6656,0.1043105938077293,trend,yes,0.7993,0.6606492981719543,1.1909,1.0,no,no,mouse_only
NOTCH2,DLL4,4,-0.3191,9.008726996899669e-151,-6.6656,0.1043105938077293,no,no,0.0074,1.0,1.1909,1.0,no,no,neither
NOTCH3,DLL4,4,5.4688,1.5999027198372099e-232,-6.6656,0.1043105938077293,trend,yes,0.9111,1.0,1.1909,1.0,no,no,mouse_only
NOTCH4,DLL4,5,1.4665,1.1539854676177063e-28,-6.6656,0.1043105938077293,trend,yes,0.3283,1.0,1.1909,1.0,no,no,mouse_only
DSG1,DSC1,3,,,,,no_data,no_data,0.7313,1.0,0.6691,1.0,no,no,neither
DSG2,DSC1,3,-2.0439,3.513423784386625e-05,,,no_data,no_data,0.0874,1.0,0.6691,1.0,no,no,neither
DSG1,DSC2,3,,,-0.2621,0.9999344575108172,no_data,no_data,0.7313,1.0,0.0157,1.0,no,no,neither
DSG2,DSC2,3,-2.0439,3.513423784386625e-05,-0.2621,0.9999344575108172,no,no,0.0874,1.0,0.0157,1.0,no,no,neither
DSG1,DSC3,3,,,-1.6841,0.8424691175567217,no_data,no_data,0.7313,1.0,0.5335,0.0024267961975557,no,no,neither
DSG2,DSC3,3,-2.0439,3.513423784386625e-05,-1.6841,0.8424691175567217,no,no,0.0874,1.0,0.5335,0.0024267961975557,no,no,neither
IL27RA,EBI3,4,-1.0305,6.9396818559143005e-28,-2.3005,0.9999344575108172,no,no,0.949,1.0,-0.9957,1.0,trend,yes,human_only
IL6ST,EBI3,3,5.9256,5.237849615188787e-175,-2.3005,0.9999344575108172,trend,yes,0.3514,1.1176301121782341e-07,-0.9957,1.0,trend,yes,CONSERVED_relaxed
EDA2R,EDA,4,1.6435,5.757883970685043e-13,-6.5448,0.1962421304050541,trend,yes,-0.0533,1.0,0.6771,8.444412650992243e-20,no,no,mouse_only
EDAR,EDA,4,6.4456,0.9999344575108172,-6.5448,0.1962421304050541,trend,yes,0.6817,1.0,0.6771,8.444412650992243e-20,no,no,mouse_only
ITGAV,EDIL3,3,50.4759,0.0,3.0906,0.0002047344655005,no,no,0.1033,1.0,-1.3692,0.0668469493546257,trend,yes,human_only
EDNRA,EDN1,5,10.0845,4.898784280673846e-261,5.787,6.716119982020734e-137,no,no,0.0527,1.0,-0.7693,1.0,trend,yes,human_only
EDNRB,EDN1,5,-8.4899,0.050979739577644,5.787,6.716119982020734e-137,no,no,-0.0425,1.0,-0.7693,1.0,no,no,neither
KEL,EDN1,4,,,5.787,6.716119982020734e-137,no_data,no_data,0.8915,1.0,-0.7693,1.0,trend,yes,human_only
EDNRA,EDN2,5,10.0845,4.898784280673846e-261,-3.2383,0.7650052570636103,trend,yes,0.0527,1.0,-3.0498,1.0,trend,yes,CONSERVED_relaxed
EDNRB,EDN2,5,-8.4899,0.050979739577644,-3.2383,0.7650052570636103,no,no,-0.0425,1.0,-3.0498,1.0,no,no,neither
KEL,EDN2,4,,,-3.2383,0.7650052570636103,no_data,no_data,0.8915,1.0,-3.0498,1.0,trend,yes,human_only
EDNRA,EDN3,5,10.0845,4.898784280673846e-261,-2.534,0.9999344575108172,trend,yes,0.0527,1.0,-18.9188,1.0,trend,yes,CONSERVED_relaxed
EDNRB,EDN3,5,-8.4899,0.050979739577644,-2.534,0.9999344575108172,no,no,-0.0425,1.0,-18.9188,1.0,no,no,neither
KEL,EDN3,4,,,-2.534,0.9999344575108172,no_data,no_data,0.8915,1.0,-18.9188,1.0,trend,yes,human_only
EGFR,EFEMP1,4,9.1206,4.0958356894436235e-295,-136.5279,0.0,yes,yes,-0.0943,1.0,0.5693,1.216663251194071e-23,no,no,mouse_only
AQP1,EFEMP2,3,-49.2407,4.0125107511169555e-08,213.7048,0.0,no,no,1.0334,2.116076171397265e-50,0.4719,0.1694096503866309,no,no,neither
