rank,receptor,ligand,r_logfc,l_logfc,n_db,starvation,mismatch_composite,pathway,h_receptor,h_ligand,conservation,conservation_score,drug_receptor,drug_ligand,druggability_auto,lit_receptor,lit_ligand,literature_auto,mismatch_norm,priority_score
91,Itgb8,Vtn,12.0,-120.41,4,0.5,0.4,Other,ITGB8,VTN,mouse_only,0.2,0.261,0.0,0.0783,0.34,0.504,0.42200000000000004,0.4,0.28006000000000003
92,Plxna4,Sema6a,9.79,-7.57,4,0.5,0.2965,Sema,PLXNA4,SEMA6A,mouse_only,0.2,0.1,0.461,0.3527,0.266,0.3,0.28300000000000003,0.2965,0.27608999999999995
93,Nectin2,Afdn,11.86,-6.35,4,1.0,0.508,Other,NECTIN2,AFDN,mouse_only,0.2,0.0,0.0,0.0,0.328,0.245,0.2865,0.508,0.2697
94,Itga5,Vtn,17.47,-120.41,4,0.308,0.2462,Other,ITGA5,VTN,mouse_only,0.2,0.595,0.0,0.1785,0.46,0.504,0.482,0.2462,0.26596
95,Epha1,Efna1,2.2,-5.8,5,0.4,0.051,Other,EPHA1,EFNA1,mouse_only,0.2,0.497,0.62,0.5831,0.284,0.435,0.3595,0.051,0.26382
96,Itgb3,Vtn,4.57,-120.41,4,0.455,0.1663,Other,ITGB3,VTN,mouse_only,0.2,0.646,0.0,0.1938,0.646,0.504,0.575,0.1663,0.26365
97,Itgav,Vtn,50.48,-120.41,4,0.294,0.2353,Other,ITGAV,VTN,mouse_only,0.2,0.634,0.0,0.1902,0.423,0.504,0.4635,0.2353,0.26133
98,Tnfrsf11b,Vtn,6.09,-120.41,4,0.333,0.1625,Other,TNFRSF11B,VTN,mouse_only,0.2,0.584,0.0,0.1752,0.661,0.504,0.5825,0.1625,0.26029
99,Insr,Ahsg,0.6,-14.43,4,1.0,0.0477,Other,INSR,AHSG,mouse_only,0.2,0.979,0.0,0.29369999999999996,0.617,0.611,0.614,0.0477,0.25585
100,Bmpr1b,Bmp4,2.35,-73.53,4,0.444,0.0835,BMP,BMPR1B,BMP4,mouse_only,0.2,0.697,0.0,0.20909999999999998,0.403,0.86,0.6315,0.0835,0.25317
101,Tnfrsf11b,Tnfsf13,6.09,-3.27,4,0.333,0.0532,Other,TNFRSF11B,TNFSF13,mouse_only,0.2,0.584,0.297,0.3831,0.661,0.315,0.488,0.0532,0.25018
102,Plaur,Vtn,3.18,-120.41,4,0.5,0.127,Other,PLAUR,VTN,mouse_only,0.2,0.595,0.0,0.1785,0.656,0.504,0.5800000000000001,0.127,0.24980000000000002
103,Itgb3,Adam15,4.57,-6.47,4,0.455,0.1076,Other,ITGB3,ADAM15,mouse_only,0.2,0.646,0.0,0.1938,0.646,0.429,0.5375,0.1076,0.23853999999999997
104,Epha1,Efna2,2.2,-1.9,3,0.4,0.01,Other,EPHA1,EFNA2,mouse_only,0.2,0.497,0.702,0.6405,0.284,0.19,0.237,0.01,0.2385
105,Pvr,Vtn,1.16,-120.41,4,1.0,0.0931,Other,PVR,VTN,mouse_only,0.2,0.0,0.0,0.0,1.0,0.504,0.752,0.0931,0.23833
106,Insr,Sorbs1,0.6,-7.27,3,1.0,0.026,Other,INSR,SORBS1,mouse_only,0.2,0.979,0.1,0.36369999999999997,0.617,0.34,0.47850000000000004,0.026,0.23624
107,Itga5,Adam15,17.47,-6.47,4,0.308,0.1592,Other,ITGA5,ADAM15,mouse_only,0.2,0.595,0.0,0.1785,0.46,0.429,0.4445,0.1592,0.23236
108,Plxnb2,Sema4c,18.9,-15.07,5,0.333,0.3333,Other,PLXNB2,SEMA4C,mouse_only,0.2,0.0,0.1,0.06999999999999999,0.315,0.245,0.28,0.3333,0.22998999999999997
109,Itgb1,Adam15,334.47,-6.47,4,0.2,0.1035,Other,ITGB1,ADAM15,mouse_only,0.2,0.627,0.0,0.1881,0.583,0.429,0.506,0.1035,0.22987000000000002
110,Itgav,Adam15,50.48,-6.47,4,0.294,0.1522,Other,ITGAV,ADAM15,mouse_only,0.2,0.634,0.0,0.1902,0.423,0.429,0.426,0.1522,0.2289
