rank,receptor,ligand,receptor_logfc,receptor_padj,receptor_rank_among_receptors,ligand_logfc,ligand_padj,mismatch_score,pathway
320,Itga9,Adam15,12.0,2.6565569117446117e-274,197,-6.47,3.0697509065815005e-157,18.47,Other
321,Ror2,Wnt5a,7.32,8.138353348528051e-149,259,-10.99,0.1652932478745672,18.3,Wnt
322,Fzd8,Wnt7b,17.09,0.0,149,-1.19,0.9999344575108172,18.28,Wnt
323,Fzd8,Wnt3,17.09,0.0,149,-1.15,0.9999344575108172,18.24,Wnt
324,Nectin2,Afdn,11.86,0.0,203,-6.35,2.295930398484685e-110,18.21,Other
325,Bmpr2,Bmp7,15.12,0.0,161,-3.08,0.0094799096604423,18.2,BMP
326,Wnt16,Wif1,1.96,2.9621789996501186e-05,458,-16.14,0.0786458568928288,18.1,Other
327,Fzd8,Wnt8b,17.09,0.0,149,-0.98,0.9999344575108172,18.07,Wnt
328,Fzd5,Wnt7b,16.61,1.5136412228990692e-266,154,-1.19,0.9999344575108172,17.8,Wnt
329,Fzd5,Wnt3,16.61,1.5136412228990692e-266,154,-1.15,0.9999344575108172,17.76,Wnt
330,Fzd8,Wnt2b,17.09,0.0,149,-0.56,0.9999344575108172,17.65,Wnt
331,Ephb3,Afdn,11.25,2.0608860973678798e-228,205,-6.35,2.295930398484685e-110,17.6,Other
332,Fzd5,Wnt8b,16.61,1.5136412228990692e-266,154,-0.98,0.9999344575108172,17.59,Wnt
333,Itga5,Plau,17.47,8.270553119411679e-238,148,-0.07,0.0415923523155702,17.54,Other
334,Itga5,Angpt1,17.47,8.270553119411679e-238,148,-0.02,2.572906970629661e-76,17.49,Other
335,Acvr2a,Inhbb,2.08,1.3580638240402423e-37,448,-15.34,1.109667392529749e-07,17.41,Activin
336,Plxna4,Sema6a,9.79,1.7786266728054342e-119,220,-7.57,0.0035852837913039,17.36,Semaphorin
337,Fzd8,Rspo3,17.09,0.0,149,-0.21,5.704826368325124e-07,17.31,Wnt
338,Fzd5,Wnt2b,16.61,1.5136412228990692e-266,154,-0.56,0.9999344575108172,17.17,Wnt
339,Lrp6,Sostdc1,12.87,0.0,188,-4.2,0.9999344575108172,17.07,Wnt
340,Wnt2,Wif1,0.81,0.0038300133123565,555,-16.14,0.0786458568928288,16.95,Other
