rank,receptor,ligand,r_score,r_logfc,l_score,l_logfc,l_padj,n_db,starvation,n_sig_down_hc,n_hc_ligands,composite,pathway,h_receptor,h_ligand,conservation,conservation_score,lig_deliver,lig_dgidb,rec_dgidb,druggability,lit_receptor,lit_ligand,literature,mismatch_norm,priority_score
26,Neo1,Ntn1,83.4,49.09,-26.28,-35.44,2.2899630889175643e-151,4,0.75,3,4,0.0329,Other,NEO1,NTN1,mouse_only,0.2,1.0,0.0,0.0,0.42,0.284,0.54,0.41200000000000003,0.5643224699828473,0.3956967409948542
27,Nrp2,Pgf,35.1,9.63,-60.4,-111.07,0.0,5,0.2,2,10,0.0106,Sema/VEGF,NRP2,PGF,mouse_only,0.2,1.0,0.523,0.461,0.7047399999999999,0.517,0.868,0.6925,0.18181818181818182,0.39399345454545454
28,Cd44,Fgf1,45.04,65.3,-3.96,-7.3,0.0001591980573015,3,0.091,1,11,0.0002,Other,CD44,FGF1,mouse_only,0.2,1.0,0.804,0.666,0.8449199999999999,0.877,0.744,0.8105,0.0034305317324185253,0.3921131595197256
29,Fgfr2,Fgf1,12.09,4.81,-3.96,-7.3,0.0001591980573015,5,0.2,3,15,0.0002,FGF,FGFR2,FGF1,mouse_only,0.2,1.0,0.804,0.997,0.9442199999999998,0.675,0.744,0.7095,0.0034305317324185253,0.3917731595197256
30,Acvr1,Bmp2,54.75,21.96,-11.79,-12.8,1.2892853069774322e-31,3,0.444,4,9,0.0043,BMP/Activin,ACVR1,BMP2,mouse_only,0.2,1.0,0.543,0.882,0.83664,0.524,0.867,0.6955,0.0737564322469983,0.38855492967409955
31,Egfr,Icam1,36.78,9.12,-9.48,-27.13,7.270841286462939e-21,3,0.211,4,19,0.0011,EGF,EGFR,ICAM1,mouse_only,0.2,0.5,0.573,0.8,0.61044,1.0,1.0,1.0,0.01886792452830189,0.38774837735849055
32,Bmpr1a,Bmp2,41.83,9.56,-11.79,-12.8,1.2892853069774322e-31,4,0.4,4,10,0.0039,BMP,BMPR1A,BMP2,mouse_only,0.2,1.0,0.543,0.697,0.78114,0.615,0.867,0.741,0.06689536878216124,0.38449661063464835
33,Egfr,Efemp1,36.78,9.12,-62.74,-136.53,0.0,4,0.211,4,19,0.0097,EGF,EGFR,EFEMP1,mouse_only,0.2,1.0,0.0,0.8,0.6599999999999999,1.0,0.403,0.7015,0.16638078902229847,0.3822142367066895
34,Bmpr2,Bmp7,44.49,15.12,-2.82,-3.08,0.0094799096604423,4,0.4,4,10,0.001,BMP,BMPR2,BMP7,mouse_only,0.2,1.0,0.613,0.773,0.8235399999999999,0.841,0.657,0.749,0.017152658662092625,0.37965379759862783
35,Fzd4,Myoc,21.87,-3.65,-57.29,-153.04,0.0,3,0.333,1,3,0.0063,Other,FZD4,MYOC,CONSERVED_relaxed,0.7,1.0,0.0,0.1,0.44999999999999996,0.0,0.451,0.2255,0.10806174957118354,0.37751852487135507
36,Egfr,Tgfa,36.78,9.12,-3.87,-2.65,0.000226413419789,5,0.211,4,19,0.0007,EGF,EGFR,TGFA,mouse_only,0.2,1.0,0.543,0.8,0.81204,1.0,0.416,0.708,0.012006861063464838,0.3676100583190395
37,Adora2b,Ntn1,22.31,5.66,-26.28,-35.44,2.2899630889175643e-151,4,1.0,1,1,0.0117,Other,ADORA2B,NTN1,mouse_only,0.2,1.0,0.0,0.861,0.6782999999999999,0.504,0.54,0.522,0.2006861063464837,0.36026583190394507
38,Erbb2,Tgfa,13.67,1.35,-3.87,-2.65,0.000226413419789,4,0.125,1,8,0.0001,EGF,ERBB2,TGFA,mouse_only,0.2,1.0,0.543,0.8,0.81204,0.925,0.416,0.6705,0.0017152658662092626,0.35702257975986273
39,Acvr1,Bmp7,54.75,21.96,-2.82,-3.08,0.0094799096604423,4,0.444,4,9,0.0014,BMP/Activin,ACVR1,BMP7,mouse_only,0.2,1.0,0.613,0.882,0.8562399999999999,0.524,0.657,0.5905,0.024013722126929676,0.3565521166380789
40,Bmpr1a,Bmp7,41.83,9.56,-2.82,-3.08,0.0094799096604423,4,0.4,4,10,0.0009,BMP,BMPR1A,BMP7,mouse_only,0.2,1.0,0.613,0.697,0.8007399999999999,0.615,0.657,0.636,0.015437392795883362,0.35197921783876496
41,Fzd7,Myoc,5.14,-3.99,-57.29,-153.04,0.0,3,0.2,1,5,0.0009,Other,FZD7,MYOC,CONSERVED_relaxed,0.7,1.0,0.0,0.1,0.44999999999999996,0.0,0.451,0.2255,0.015437392795883362,0.34973121783876504
42,Itgb3,Tgm2,13.35,4.57,-49.94,-65.47,0.0,4,0.143,2,14,0.0019,Other,ITGB3,TGM2,mouse_only,0.2,1.0,0.727,0.646,0.81736,0.646,0.514,0.5800000000000001,0.032590051457975985,0.34924901543739284
